sno,occupation_title,nco_2015,nco_2004,division,subdivision,group,family,description,embed_data
429,Multimedia Artist and Animator/Animator,2166.0201,2452.7,Professionals,Science and Engineering Professionals,"Architects, Planners, Surveyors and Designers",Graphic and Multimedia Designers,"Art Director creates visual concepts and styles for productions, including animation and special effects. They develop the creative vision, ensuring all elements align with the established design. This role involves story development, directing, and cinematography, utilizing film, video, and computer tools to produce compelling imagery for various media like games, movies, and commercials.","The occupation Multimedia Artist and Animator/Animator NCO 2015: 2166.0201, NCO 2004: 2452.70 belongs to division Professionals, subdivision Science and Engineering Professionals, group Architects, Planners, Surveyors and Designers, and family Graphic and Multimedia Designers. Description: Art Director creates visual concepts and styles for productions, including animation and special effects. They develop the creative vision, ensuring all elements align with the established design. This role involves story development, directing, and cinematography, utilizing film, video, and computer tools to produce compelling imagery for various media like games, movies, and commercials."
430,Colourist,2166.0512,,Professionals,Science and Engineering Professionals,"Architects, Planners, Surveyors and Designers",Graphic and Multimedia Designers,"Dyeing Master and Bleaching Master: This role involves the dyeing and bleaching of yarn and cloth. The position encompasses quality control, including testing samples, overseeing production processes such as yarn bleaching and dyeing, maintaining equipment, and potentially conducting research and training. It’s a specialized position focused on color matching and production efficiency.","The occupation Colourist NCO 2015: 2166.0512, NCO 2004:  belongs to division Professionals, subdivision Science and Engineering Professionals, group Architects, Planners, Surveyors and Designers, and family Graphic and Multimedia Designers. Description: Dyeing Master and Bleaching Master: This role involves the dyeing and bleaching of yarn and cloth. The position encompasses quality control, including testing samples, overseeing production processes such as yarn bleaching and dyeing, maintaining equipment, and potentially conducting research and training. It’s a specialized position focused on color matching and production efficiency."
431,Modeller,2166.0202,,Professionals,Science and Engineering Professionals,"Architects, Planners, Surveyors and Designers",Graphic and Multimedia Designers,"Modeller: Creates computer-generated models for animation, including characters, machines, and props. They develop briefs, brochures, and multimedia presentations using independent judgment and creativity. Responsibilities involve designing graphics and artwork for various products and media. The role utilizes computer equipment and software for 2166.0202.","The occupation Modeller NCO 2015: 2166.0202, NCO 2004:  belongs to division Professionals, subdivision Science and Engineering Professionals, group Architects, Planners, Surveyors and Designers, and family Graphic and Multimedia Designers. Description: Modeller: Creates computer-generated models for animation, including characters, machines, and props. They develop briefs, brochures, and multimedia presentations using independent judgment and creativity. Responsibilities involve designing graphics and artwork for various products and media. The role utilizes computer equipment and software for 2166.0202."
432,Rigging Artist,2166.0203,,Professionals,Science and Engineering Professionals,"Architects, Planners, Surveyors and Designers",Graphic and Multimedia Designers,"Rigging Artist – This role involves creating computer-generated controls for animation, specifically for models used in media and entertainment. Responsibilities include designing and implementing rigging systems, ensuring realistic movement and animation. Individuals utilize specialized software to create these controls, focusing on adding textures to enhance visual fidelity.  The position requires a strong understanding of 3D modeling and animation principles.","The occupation Rigging Artist NCO 2015: 2166.0203, NCO 2004:  belongs to division Professionals, subdivision Science and Engineering Professionals, group Architects, Planners, Surveyors and Designers, and family Graphic and Multimedia Designers. Description: Rigging Artist – This role involves creating computer-generated controls for animation, specifically for models used in media and entertainment. Responsibilities include designing and implementing rigging systems, ensuring realistic movement and animation. Individuals utilize specialized software to create these controls, focusing on adding textures to enhance visual fidelity.  The position requires a strong understanding of 3D modeling and animation principles."
433,"Anatomist, Medical",2211.03,2221.2,Professionals,Health Associate Professionals,Medical Doctors,Generalist Medical Practitioners,"Anatomist, Medical studies the human body’s structure and function through microscopic examination and analysis. They examine organs and tissues using specialized equipment, prepare slides for study, and publish research findings in medical journals.","The occupation Anatomist, Medical NCO 2015: 2211.0300, NCO 2004: 2221.20 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Generalist Medical Practitioners. Description: Anatomist, Medical studies the human body’s structure and function through microscopic examination and analysis. They examine organs and tissues using specialized equipment, prepare slides for study, and publish research findings in medical journals."
434,Anaesthetist,2211.04,2221.25,Professionals,Health Associate Professionals,Medical Doctors,Generalist Medical Practitioners,"Medical and Pharmaceutical Technicians perform technical tasks assisting in the diagnosis and treatment of illnesses. They prepare medications, design and repair medical devices and appliances, and provide nursing and personal care services. These technicians utilize herbal therapies based on cultural beliefs.","The occupation Anaesthetist NCO 2015: 2211.0400, NCO 2004: 2221.25 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Generalist Medical Practitioners. Description: Medical and Pharmaceutical Technicians perform technical tasks assisting in the diagnosis and treatment of illnesses. They prepare medications, design and repair medical devices and appliances, and provide nursing and personal care services. These technicians utilize herbal therapies based on cultural beliefs."
435,Psychiatrist,2211.05,2221.3,Professionals,Health Associate Professionals,Medical Doctors,Generalist Medical Practitioners,"Psychiatrist provides medical care to patients with mental health conditions. They diagnose and treat illnesses like depression, anxiety, and psychosis through examination, testing, and treatment plans. They assess patient history and conduct psychological evaluations, prescribing medication and therapy to help patients manage their symptoms and improve their well-being.","The occupation Psychiatrist NCO 2015: 2211.0500, NCO 2004: 2221.30 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Generalist Medical Practitioners. Description: Psychiatrist provides medical care to patients with mental health conditions. They diagnose and treat illnesses like depression, anxiety, and psychosis through examination, testing, and treatment plans. They assess patient history and conduct psychological evaluations, prescribing medication and therapy to help patients manage their symptoms and improve their well-being."
436,"Generalist Medical Practitioners, Allopathic, Other",2211.99,2221.9,Professionals,Health Associate Professionals,Medical Doctors,Generalist Medical Practitioners,"Generalist Medical Practitioners diagnose and treat a wide range of medical conditions in humans, applying modern medical principles and procedures. They conduct examinations, order tests, and prescribe medications to provide comprehensive medical care, including individual patients, families, and communities.","The occupation Generalist Medical Practitioners, Allopathic, Other NCO 2015: 2211.9900, NCO 2004: 2221.90 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Generalist Medical Practitioners. Description: Generalist Medical Practitioners diagnose and treat a wide range of medical conditions in humans, applying modern medical principles and procedures. They conduct examinations, order tests, and prescribe medications to provide comprehensive medical care, including individual patients, families, and communities."
437,"Physician, General",2211.01,2221.1,Professionals,Health Associate Professionals,Medical Doctors,Generalist Medical Practitioners,"Physician, General is a generalist medical practitioner responsible for diagnosing and treating illnesses, disorders, and injuries in humans. They utilize modern medicine principles and apply them to assess patients through examination and testing. Their duties include examining patients, performing tests, and prescribing medications. They provide ongoing medical care to individuals, families, and communities.","The occupation Physician, General NCO 2015: 2211.0100, NCO 2004: 2221.10 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Generalist Medical Practitioners. Description: Physician, General is a generalist medical practitioner responsible for diagnosing and treating illnesses, disorders, and injuries in humans. They utilize modern medicine principles and apply them to assess patients through examination and testing. Their duties include examining patients, performing tests, and prescribing medications. They provide ongoing medical care to individuals, families, and communities."
438,"Surgeon, General",2211.02,2221.15,Professionals,Health Associate Professionals,Medical Doctors,Generalist Medical Practitioners,"Generalist Medical Practitioners, Allopathic, diagnose and treat human ailments. They specialize in a wide range of medical conditions, including those related to other body parts. They may conduct child guidance clinics and other specialized medical services.","The occupation Surgeon, General NCO 2015: 2211.0200, NCO 2004: 2221.15 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Generalist Medical Practitioners. Description: Generalist Medical Practitioners, Allopathic, diagnose and treat human ailments. They specialize in a wide range of medical conditions, including those related to other body parts. They may conduct child guidance clinics and other specialized medical services."
439,Paediatrician,2212.13,2221.8,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Paediatrician diagnoses and treats diseases specific to children. They conduct investigations, analyze growth patterns, and prescribe treatments for children, including examining limbs and organs, and offering advice to other specialists.","The occupation Paediatrician NCO 2015: 2212.1300, NCO 2004: 2221.80 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Paediatrician diagnoses and treats diseases specific to children. They conduct investigations, analyze growth patterns, and prescribe treatments for children, including examining limbs and organs, and offering advice to other specialists."
440,Orthopaedist,2212.14,2221.85,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Physician, Osteopathic, specializes in diagnosing and treating diseases and injuries affecting the human body’s musculoskeletal system. They conduct routine physical exams, perform tests to identify ailments, and recommend treatments such as therapy, hydrotherapy, and physical exercises to aid in recovery.","The occupation Orthopaedist NCO 2015: 2212.1400, NCO 2004: 2221.85 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Physician, Osteopathic, specializes in diagnosing and treating diseases and injuries affecting the human body’s musculoskeletal system. They conduct routine physical exams, perform tests to identify ailments, and recommend treatments such as therapy, hydrotherapy, and physical exercises to aid in recovery."
441,Pharmacologist,2212.15,2212.3,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Pharmacologist conducts analysis and testing of pharmaceutical products to ensure compliance with standards. They formulate new drugs, studies their stability, and oversee production processes. They also act as medical representatives, explaining drug usage to clients.","The occupation Pharmacologist NCO 2015: 2212.1500, NCO 2004: 2212.30 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Pharmacologist conducts analysis and testing of pharmaceutical products to ensure compliance with standards. They formulate new drugs, studies their stability, and oversee production processes. They also act as medical representatives, explaining drug usage to clients."
442,Toxicologist (Pharmaceutical),2212.16,2212.35,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,Toxicologist (Pharmaceutical) conducts research on the effects of cosmetic ingredients and products on laboratory animals to assess potential skin irritation and abnormalities. They analyze blood samples and inject substances to determine toxicity and administer antidotes. This role involves observing animal skin and testing for any adverse reactions or toxic effects.,"The occupation Toxicologist (Pharmaceutical) NCO 2015: 2212.1600, NCO 2004: 2212.35 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Toxicologist (Pharmaceutical) conducts research on the effects of cosmetic ingredients and products on laboratory animals to assess potential skin irritation and abnormalities. They analyze blood samples and inject substances to determine toxicity and administer antidotes. This role involves observing animal skin and testing for any adverse reactions or toxic effects."
443,Neurologist,2212.01,2221.35,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Neurologist is a medical specialist who diagnoses and treats nervous diseases in humans. They examine patients’ nervous systems to identify the cause of disorders and locate specific defects, relating these conditions to broader body systems.","The occupation Neurologist NCO 2015: 2212.0100, NCO 2004: 2221.35 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Neurologist is a medical specialist who diagnoses and treats nervous diseases in humans. They examine patients’ nervous systems to identify the cause of disorders and locate specific defects, relating these conditions to broader body systems."
444,"Pathologist, Medical",2212.17,2212.4,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Generalist Medical Practitioners specializing in anatomical studies and examination of the human body. They utilize microscopes and various techniques to investigate organs and tissues, contributing to diagnosis and treatment of diseases.","The occupation Pathologist, Medical NCO 2015: 2212.1700, NCO 2004: 2212.40 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Generalist Medical Practitioners specializing in anatomical studies and examination of the human body. They utilize microscopes and various techniques to investigate organs and tissues, contributing to diagnosis and treatment of diseases."
445,Dermatologist,2212.02,2221.4,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Dermatologist diagnoses skin conditions and disorders. They examine patients to identify the root cause of skin problems and link them to potential diseases. Clinical tests, microscopic analysis, and biopsies are conducted to determine the cause and nature of skin ailments. The role involves history-taking and assessment, and treatment planning.","The occupation Dermatologist NCO 2015: 2212.0200, NCO 2004: 2221.40 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Dermatologist diagnoses skin conditions and disorders. They examine patients to identify the root cause of skin problems and link them to potential diseases. Clinical tests, microscopic analysis, and biopsies are conducted to determine the cause and nature of skin ailments. The role involves history-taking and assessment, and treatment planning."
446,"Malariologist, Medical",2212.18,2212.45,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Malariologist, Medical conducts research on malaria, focusing on its causes and effects through laboratory studies and direct patient management. They plan and oversee antimalarial operations and interventions to control and eradicate the disease. The role involves microscopic, biochemical, and biological techniques, utilizing mosquito, mammal, and human samples.","The occupation Malariologist, Medical NCO 2015: 2212.1800, NCO 2004: 2212.45 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Malariologist, Medical conducts research on malaria, focusing on its causes and effects through laboratory studies and direct patient management. They plan and oversee antimalarial operations and interventions to control and eradicate the disease. The role involves microscopic, biochemical, and biological techniques, utilizing mosquito, mammal, and human samples."
447,Allergy Specialist,2212.03,2221.42,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Allergy Specialist: This role involves diagnosing and treating skin conditions like blemishes, scabies, and eczema. They examine patients, use tests and instruments to identify the cause of skin problems, and prescribe medications to alleviate symptoms. The specialist collaborates with other medical professionals to diagnose and manage complex allergic or immune-related illnesses.","The occupation Allergy Specialist NCO 2015: 2212.0300, NCO 2004: 2221.42 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Allergy Specialist: This role involves diagnosing and treating skin conditions like blemishes, scabies, and eczema. They examine patients, use tests and instruments to identify the cause of skin problems, and prescribe medications to alleviate symptoms. The specialist collaborates with other medical professionals to diagnose and manage complex allergic or immune-related illnesses."
448,"Physiologist, Medical",2212.19,2212.5,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Physiologist, Medical studies normal organ and tissue functions, investigates the effects of physical environments on vital functions. They conduct experiments on animals to study physiological reactions under extreme conditions, focusing on altitude, temperature, and other factors. The role involves research, data collection, and report writing to identify causes and prevent functional abnormalities.","The occupation Physiologist, Medical NCO 2015: 2212.1900, NCO 2004: 2212.50 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Physiologist, Medical studies normal organ and tissue functions, investigates the effects of physical environments on vital functions. They conduct experiments on animals to study physiological reactions under extreme conditions, focusing on altitude, temperature, and other factors. The role involves research, data collection, and report writing to identify causes and prevent functional abnormalities."
449,"Ear, Nose and Throat Specialist",2212.04,2221.45,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Ear, nose and throat specialist diagnoses and treats diseases of the ear, nose, and throat. They examine patients, diagnose disorders, and prescribe medications and treatments. They may consult with other specialists.","The occupation Ear, Nose and Throat Specialist NCO 2015: 2212.0400, NCO 2004: 2221.45 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Ear, nose and throat specialist diagnoses and treats diseases of the ear, nose, and throat. They examine patients, diagnose disorders, and prescribe medications and treatments. They may consult with other specialists."
450,"Specialist Medical Practitioners, Other",2212.99,2212.9,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Specialist Medical Practitioners, Other are general physicians and surgeons who diagnose and treat a wide range of medical conditions, including those related to the entire body. They may specialize in various treatment techniques and provide guidance in areas like child welfare, marriage counseling, genetic issues, and vocational support. The role involves collaborating with other specialists to address patient needs.","The occupation Specialist Medical Practitioners, Other NCO 2015: 2212.9900, NCO 2004: 2212.90 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Specialist Medical Practitioners, Other are general physicians and surgeons who diagnose and treat a wide range of medical conditions, including those related to the entire body. They may specialize in various treatment techniques and provide guidance in areas like child welfare, marriage counseling, genetic issues, and vocational support. The role involves collaborating with other specialists to address patient needs."
451,Cardiologist,2212.05,2221.5,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Cardiologist is a specialist medical practitioner who diagnoses and treats heart and blood circulation disorders. They examine patients through tests like blood analysis, X-rays, and ECGs, and provide treatment based on patient conditions. Their primary duties include diagnosing diseases, conducting clinical tests, and prescribing medications.","The occupation Cardiologist NCO 2015: 2212.0500, NCO 2004: 2221.50 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Cardiologist is a specialist medical practitioner who diagnoses and treats heart and blood circulation disorders. They examine patients through tests like blood analysis, X-rays, and ECGs, and provide treatment based on patient conditions. Their primary duties include diagnosing diseases, conducting clinical tests, and prescribing medications."
452,Radiologist,2212.06,2221.55,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Radiologist diagnoses and treats diseases through medical imaging, including X-rays and fluoroscopy. They examine patients, identify conditions, and prescribe treatments like radiation therapy to address medical issues.  The role involves interpreting medical images, assessing patients, and determining appropriate treatments.","The occupation Radiologist NCO 2015: 2212.0600, NCO 2004: 2221.55 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Radiologist diagnoses and treats diseases through medical imaging, including X-rays and fluoroscopy. They examine patients, identify conditions, and prescribe treatments like radiation therapy to address medical issues.  The role involves interpreting medical images, assessing patients, and determining appropriate treatments."
453,Tuberculosis Specialist,2212.07,2221.6,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Tuberculosis Specialist is a medical doctor specializing in the diagnosis and treatment of tuberculosis. They examine patients, conduct tests like sputum and blood analysis, and administer tuberculin tests. They also utilize X-rays to assess the chest and other body parts, and prescribe treatments as needed.","The occupation Tuberculosis Specialist NCO 2015: 2212.0700, NCO 2004: 2221.60 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Tuberculosis Specialist is a medical doctor specializing in the diagnosis and treatment of tuberculosis. They examine patients, conduct tests like sputum and blood analysis, and administer tuberculin tests. They also utilize X-rays to assess the chest and other body parts, and prescribe treatments as needed."
454,Ophthalmologist,2212.08,2221.65,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Refractionist provides basic clinical and administrative support to medical professionals, assisting with patient care and performing tasks such as taking patient histories, conducting diagnostic tests, dispensing prescriptions, and maintaining records. This role focuses on assisting with the overall healthcare process under the supervision of an ophthalmologist.","The occupation Ophthalmologist NCO 2015: 2212.0800, NCO 2004: 2221.65 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Refractionist provides basic clinical and administrative support to medical professionals, assisting with patient care and performing tasks such as taking patient histories, conducting diagnostic tests, dispensing prescriptions, and maintaining records. This role focuses on assisting with the overall healthcare process under the supervision of an ophthalmologist."
455,Urologist,2212.09,2221.68,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Urologist is a specialist medical practitioner who diagnoses and treats diseases related to the urinary organs and tract. They utilize medical imaging and surgical techniques to examine patients, diagnose conditions, and administer treatments, including therapies and prescriptions.  The role involves patient assessment, treatment, and medical management of disorders.","The occupation Urologist NCO 2015: 2212.0900, NCO 2004: 2221.68 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Urologist is a specialist medical practitioner who diagnoses and treats diseases related to the urinary organs and tract. They utilize medical imaging and surgical techniques to examine patients, diagnose conditions, and administer treatments, including therapies and prescriptions.  The role involves patient assessment, treatment, and medical management of disorders."
456,Venereologist,2212.1,2221.7,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Venereologist is a specialist medical practitioner who diagnoses and treats human venereal diseases. They use medical imaging and procedures to examine patients, diagnose infections, and provide treatment. Their primary duties include examining patients, performing tests, and prescribing medications. They specialize in the investigation and treatment of diseases related to sexual health.","The occupation Venereologist NCO 2015: 2212.1000, NCO 2004: 2221.70 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Venereologist is a specialist medical practitioner who diagnoses and treats human venereal diseases. They use medical imaging and procedures to examine patients, diagnose infections, and provide treatment. Their primary duties include examining patients, performing tests, and prescribing medications. They specialize in the investigation and treatment of diseases related to sexual health."
457,Obstetrician,2212.11,2221.75,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Midwife and Maternity Assistant roles are assigned to this position. The primary duty is providing antenatal care, conducting deliveries, and offering post-natal care to expectant mothers. The individual assists with newborn care, hygiene, and may support other healthcare professionals in a clinical setting. They also perform basic nursing tasks and assist with deliveries.","The occupation Obstetrician NCO 2015: 2212.1100, NCO 2004: 2221.75 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Midwife and Maternity Assistant roles are assigned to this position. The primary duty is providing antenatal care, conducting deliveries, and offering post-natal care to expectant mothers. The individual assists with newborn care, hygiene, and may support other healthcare professionals in a clinical setting. They also perform basic nursing tasks and assist with deliveries."
458,Gynaecologist,2212.12,2221.78,Professionals,Health Associate Professionals,Medical Doctors,Specialist Medical Practitioners,"Gynaecologist specializes in the assessment and management of pregnancy and childbirth. They oversee the delivery of children, including administering medications during labor, performing procedures like uterine massage and forceps delivery, and diagnosing and treating conditions related to female reproductive health. They provide medical consultations, perform examinations, and may prescribe treatment for chronic diseases.","The occupation Gynaecologist NCO 2015: 2212.1200, NCO 2004: 2221.78 belongs to division Professionals, subdivision Health Associate Professionals, group Medical Doctors, and family Specialist Medical Practitioners. Description: Gynaecologist specializes in the assessment and management of pregnancy and childbirth. They oversee the delivery of children, including administering medications during labor, performing procedures like uterine massage and forceps delivery, and diagnosing and treating conditions related to female reproductive health. They provide medical consultations, perform examinations, and may prescribe treatment for chronic diseases."
459,"Nurse, Specialist",2221.01,2230.1,Professionals,Health Associate Professionals,Nursing and Midwifery Professionals,Nursing Professionals,"Nursing Professionals provide comprehensive care to individuals requiring medical assistance. They oversee the healthcare team, ensuring patient safety and well-being. Their duties include treatment, support, and supervision of other healthcare workers, applying preventive and curative measures. They focus on managing patient needs and collaborating with medical professionals.","The occupation Nurse, Specialist NCO 2015: 2221.0100, NCO 2004: 2230.10 belongs to division Professionals, subdivision Health Associate Professionals, group Nursing and Midwifery Professionals, and family Nursing Professionals. Description: Nursing Professionals provide comprehensive care to individuals requiring medical assistance. They oversee the healthcare team, ensuring patient safety and well-being. Their duties include treatment, support, and supervision of other healthcare workers, applying preventive and curative measures. They focus on managing patient needs and collaborating with medical professionals."
460,"Professional Nurses, Other",2221.99,2230.9,Professionals,Health Associate Professionals,Nursing and Midwifery Professionals,Nursing Professionals,"Nursing Professionals provide comprehensive care and support to individuals requiring medical assistance due to various conditions. They oversee the activities of other healthcare professionals, ensuring patients receive tailored treatment and are monitored for health progress. Their responsibilities include planning, managing, and applying preventative and curative measures to maintain patient well-being.","The occupation Professional Nurses, Other NCO 2015: 2221.9900, NCO 2004: 2230.90 belongs to division Professionals, subdivision Health Associate Professionals, group Nursing and Midwifery Professionals, and family Nursing Professionals. Description: Nursing Professionals provide comprehensive care and support to individuals requiring medical assistance due to various conditions. They oversee the activities of other healthcare professionals, ensuring patients receive tailored treatment and are monitored for health progress. Their responsibilities include planning, managing, and applying preventative and curative measures to maintain patient well-being."
461,"Physician, Ayurvedic",2230.01,2222.1,Professionals,Health Associate Professionals,Traditional and Complementary Medicine Professionals,Traditional and Complementary Medicine Professionals,"Physician, Ayurveda examines patients using traditional methods like interrogation, pulse reading, and physical examination to diagnose illnesses and prescribe Ayurvedic treatments. They focus on understanding the patient’s health history and bowel movements to determine the root cause of the problem.","The occupation Physician, Ayurvedic NCO 2015: 2230.0100, NCO 2004: 2222.10 belongs to division Professionals, subdivision Health Associate Professionals, group Traditional and Complementary Medicine Professionals, and family Traditional and Complementary Medicine Professionals. Description: Physician, Ayurveda examines patients using traditional methods like interrogation, pulse reading, and physical examination to diagnose illnesses and prescribe Ayurvedic treatments. They focus on understanding the patient’s health history and bowel movements to determine the root cause of the problem."
462,"Physician, Homeopathic",2230.02,2223.1,Professionals,Health Associate Professionals,Traditional and Complementary Medicine Professionals,Traditional and Complementary Medicine Professionals,"Physician, Homoeopathic examines patients to diagnose ailments and prescribe homeopathic remedies. They gather patient history, conduct interviews, and analyze symptoms to determine the appropriate treatment plan.  The physician utilizes a holistic approach, including physical and mental reactions, and prescribes remedies based on a comprehensive assessment.  They also provide patient education regarding diet and hygiene.","The occupation Physician, Homeopathic NCO 2015: 2230.0200, NCO 2004: 2223.10 belongs to division Professionals, subdivision Health Associate Professionals, group Traditional and Complementary Medicine Professionals, and family Traditional and Complementary Medicine Professionals. Description: Physician, Homoeopathic examines patients to diagnose ailments and prescribe homeopathic remedies. They gather patient history, conduct interviews, and analyze symptoms to determine the appropriate treatment plan.  The physician utilizes a holistic approach, including physical and mental reactions, and prescribes remedies based on a comprehensive assessment.  They also provide patient education regarding diet and hygiene."
463,"Physician, Bio-Chemic/Bio Chemist",2230.03,2223.2,Professionals,Health Associate Professionals,Traditional and Complementary Medicine Professionals,Traditional and Complementary Medicine Professionals,"Chemist, Biological, conducts metabolic studies in plants and animals to determine nutritional requirements, poison detection, and drug/vaccine development. They perform basic tests using chromatography, electrophoresis, and spectrophotometry to analyze biological compounds, isolate enzymes, and study their properties.","The occupation Physician, Bio-Chemic/Bio Chemist NCO 2015: 2230.0300, NCO 2004: 2223.20 belongs to division Professionals, subdivision Health Associate Professionals, group Traditional and Complementary Medicine Professionals, and family Traditional and Complementary Medicine Professionals. Description: Chemist, Biological, conducts metabolic studies in plants and animals to determine nutritional requirements, poison detection, and drug/vaccine development. They perform basic tests using chromatography, electrophoresis, and spectrophotometry to analyze biological compounds, isolate enzymes, and study their properties."
464,"Physician, Unani",2230.04,2224.1,Professionals,Health Associate Professionals,Traditional and Complementary Medicine Professionals,Traditional and Complementary Medicine Professionals,"Physician, specializing in Traditional and Complementary Medicine, particularly the Siddha System of treatment. This role involves diagnosing illnesses through physical examination and assessment of patient conditions. The physician utilizes pulse, abdomen examination, skin examination, urine and stool analysis, and prescribes remedies like Legiams, Bhasams, and eye ointments to treat ailments. They also provide patient education and general health advice.","The occupation Physician, Unani NCO 2015: 2230.0400, NCO 2004: 2224.10 belongs to division Professionals, subdivision Health Associate Professionals, group Traditional and Complementary Medicine Professionals, and family Traditional and Complementary Medicine Professionals. Description: Physician, specializing in Traditional and Complementary Medicine, particularly the Siddha System of treatment. This role involves diagnosing illnesses through physical examination and assessment of patient conditions. The physician utilizes pulse, abdomen examination, skin examination, urine and stool analysis, and prescribes remedies like Legiams, Bhasams, and eye ointments to treat ailments. They also provide patient education and general health advice."
465,"Traditional Medicine Practitioners, Other",2230.99,3241.9,Professionals,Health Associate Professionals,Traditional and Complementary Medicine Professionals,Traditional and Complementary Medicine Professionals,"Physician, Ayurveda examines patients to diagnose illnesses and prescribe treatments based on Ayurvedic principles. They use investigation, pulse reading, and physical examination to determine the nature of a patient’s condition and suggest appropriate remedies.","The occupation Traditional Medicine Practitioners, Other NCO 2015: 2230.9900, NCO 2004: 3241.90 belongs to division Professionals, subdivision Health Associate Professionals, group Traditional and Complementary Medicine Professionals, and family Traditional and Complementary Medicine Professionals. Description: Physician, Ayurveda examines patients to diagnose illnesses and prescribe treatments based on Ayurvedic principles. They use investigation, pulse reading, and physical examination to determine the nature of a patient’s condition and suggest appropriate remedies."
466,Dresser,2240.04,3221.4,Professionals,Health Associate Professionals,Paramedical Practitioners,Paramedical Practitioners,"Restorer of historical furniture. This role involves examining furniture for authenticity and damage, determining its material and construction details. The practitioner uses hand tools and power tools to repair, restore, and fabricate furniture parts. They also cut, shape, and attach wood, and apply finishes like solvents and lacquer to restore furniture’s original appearance and condition.","The occupation Dresser NCO 2015: 2240.0400, NCO 2004: 3221.40 belongs to division Professionals, subdivision Health Associate Professionals, group Paramedical Practitioners, and family Paramedical Practitioners. Description: Restorer of historical furniture. This role involves examining furniture for authenticity and damage, determining its material and construction details. The practitioner uses hand tools and power tools to repair, restore, and fabricate furniture parts. They also cut, shape, and attach wood, and apply finishes like solvents and lacquer to restore furniture’s original appearance and condition."
